Ward ID,Ward,Councillor,Journal Date,Vendor,Expense Type,Description,Account,Amount
14,Elmwood - East Kildonan,Jason Schreyer,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2204.18
14,Elmwood - East Kildonan,Jason Schreyer,04/30/2016 12:00:00 AM,Staplesstore #63,CWA,"CWA - Envelopes, Organizers-Jan 06",Stationery and Office Supplies,$155.13
14,Elmwood - East Kildonan,Jason Schreyer,04/30/2016 12:00:00 AM,Staplesstore #63,CWA,CWA - Laminating Costs-Jan 11,Stationery and Office Supplies,$4.20
13,Transcona,Russ Wyatt,04/30/2016 12:00:00 AM,Corporate Express,CWA,"CWA -  Binders, Bookends, Inde-Jan 12",Stationery and Office Supplies,$157.59
13,Transcona,Russ Wyatt,04/30/2016 12:00:00 AM,Corporate Express,CWA,CWA -  File Storage Letter - L-Jan 19,Stationery and Office Supplies,$51.71
13,Transcona,Russ Wyatt,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1693.99
13,Transcona,Russ Wyatt,04/30/2016 12:00:00 AM,Delta Winnipeg,CWA,CWA -  Association Of Manitoba-Jan 28,Business Meetings,$214.13
13,Transcona,Russ Wyatt,04/30/2016 12:00:00 AM,Eb The Urban Reser,CWA,CWA -  Urban Reserves Forum-Ma-Mar 09,"Luncheons, Receptions & Events",$174.92
13,Transcona,Russ Wyatt,04/30/2016 12:00:00 AM,Inferno`S On Acade,CWA,CWA -  Meeting On The Water An-Jan 05,Business Meetings,$27.49
13,Transcona,Russ Wyatt,04/30/2016 12:00:00 AM,Noodle Express,CWA,CWA -  Community Committee Mee-Jan 06,Business Meetings,$16.45
13,Transcona,Russ Wyatt,04/30/2016 12:00:00 AM,Rbc Convention Cen,CWA,CWA - The Nellie Mcclung Found-Jan 28,"Luncheons, Receptions & Events",$116.00
12,St. Boniface,Matt Allard,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2105.00
11,St. Vital,Brian Mayes,04/30/2016 12:00:00 AM,Corporate Express,CWA,"CWA -  Business Card Inkjet, C-Mar 08",Stationery and Office Supplies,$31.07
11,St. Vital,Brian Mayes,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2047.80
10,South Winnipeg - St. Norbert,Janice Lukes,04/30/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Metered Postage April 2016,Postage,$2.77
10,South Winnipeg - St. Norbert,Janice Lukes,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2521.71
8,River Heights - Fort Garry,John Orlikow,04/29/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Sundry Deposit.,Advertising,$-50.00
2,Mynarski,Ross Eadie,04/29/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,"CWA - Kiosk Purchase Invoice # 116033, Councillor Eadie Donation Of City Of Winnipeg Flags To The Bell Tower-Anti-Violence Rally.",Contrib-Donations,$164.16
11,St. Vital,Brian Mayes,04/29/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,"CWA - Kiosk Purchase Invoice # 116035, Councillor Mayes Donation To St. Vital Agricultural Society- A Gardener'S Evening.",Contrib-Donations,$80.51
3,Point Douglas,Mike Pagtakhan,04/27/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Postage - Unaddressed Neighbourhood Mailing - Councillor Pagtakhan - Arlington Bridge,Postage,$533.40
13,Transcona,Russ Wyatt,04/27/2016 12:00:00 AM,Rotary Club Of Winnipeg,CWA,CWA - Sponsorship-Cabin Fever Auctio,Contrib-Sponsorships-Cash,$500.00
12,St. Boniface,Matt Allard,04/27/2016 12:00:00 AM,Ymca-Ywca Of Winnipeg,CWA,CWA - Women Of Distinction Awards,"Luncheons, Receptions & Events",$320.00
8,River Heights - Fort Garry,John Orlikow,04/26/2016 12:00:00 AM,Winnipeg Jewish Review,CWA,CWA - Mar 23-Apr 23 Advertisement,Advertising,$125.00
4,Daniel McIntyre,Cindy Gilroy,04/26/2016 12:00:00 AM,Daniel Mcintyre St Matthews,CWA,CWA - Spring 2016 Ed Of Front Porch,Advertising,$100.00
5,St. James - Brooklands - Weston,Scott Gillingham,04/26/2016 12:00:00 AM,All-Net.Ca,CWA,CWA - One Yr Of Website Hosting,Periodicals and Subscriptions,$359.40
12,St. Boniface,Matt Allard,04/20/2016 12:00:00 AM,Chambre De Commerce,CWA,CWA - Membership-Francophone,Membership Fees,$235.00
5,St. James - Brooklands - Weston,Scott Gillingham,04/26/2016 12:00:00 AM,Imperial Parking Canada Corporation,CWA,CWA - Access Dep Cr-Lot 339,Parking Space Rental,$-25.00
5,St. James - Brooklands - Weston,Scott Gillingham,04/26/2016 12:00:00 AM,Imperial Parking Canada Corporation,CWA,CWA - Exec Assis Parking-May,Parking Space Rental,$195.00
5,St. James - Brooklands - Weston,Scott Gillingham,04/26/2016 12:00:00 AM,Imperial Parking Canada Corporation,CWA,CWA - Exec Assis Prkg-Apr,Parking Space Rental,$180.00
5,St. James - Brooklands - Weston,Scott Gillingham,04/26/2016 12:00:00 AM,Winnipeg Outdoor Marketing Group Inc,CWA,CWA - Recycle Box-Apr 11-May 8,Advertising,$375.00
2,Mynarski,Ross Eadie,04/26/2016 12:00:00 AM,Winnipeg Jewish Review,CWA,CWA - Passover Mar 23-Apr 23,Advertising,$100.00
15,North Kildonan,Jeff Browaty,04/26/2016 12:00:00 AM,Gateway Recreation Centre Inc,CWA,CWA - Summer Carnival & Tournament,Contrib-Sponsorships-Cash,$500.00
13,Transcona,Russ Wyatt,04/26/2016 12:00:00 AM,Christopher Belanger,CWA,CWA - Executive Assistant I-Phone,Telephone,$169.02
11,St. Vital,Brian Mayes,04/26/2016 12:00:00 AM,Accountable Development Works,CWA,CWA - Fundraising Dinner,"Luncheons, Receptions & Events",$40.00
11,St. Vital,Brian Mayes,04/26/2016 12:00:00 AM,Brian Mayes,CWA,CWA - Bidhu Jha Retirement,"Luncheons, Receptions & Events",$25.00
11,St. Vital,Brian Mayes,04/26/2016 12:00:00 AM,Brian Mayes,CWA,CWA - Heritage Winnipeg Lunch,Parking Meter/Voucher,$2.86
11,St. Vital,Brian Mayes,04/26/2016 12:00:00 AM,Brian Mayes,CWA,CWA - Tennis Manitoba Breakfast,Parking Meter/Voucher,$4.76
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/25/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,"CWA - April 25, 2016 Kiosk Purchase Invoice # 116032, Councillor Gerbasi Donation To The Metro Curling League Annual Banquet.",Contrib-Donations,$97.20
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/21/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,"CWA - Kiosk Purchase Invoice # 116030, Lord Roberts Elementary School Silent Auction Prize From Councillor Gerbasi.",Contrib-Donations,$91.80
4,Daniel McIntyre,Cindy Gilroy,04/21/2016 12:00:00 AM,The Leaf Inc,CWA,CWA - April Issue 2016,Advertising,$72.00
7,Charleswood - Tuxedo - Whyte Ridge,Marty Morantz,04/21/2016 12:00:00 AM,Winnipeg Outdoor Marketing Group Inc,CWA,CWA - Recycle Box,Advertising,$150.00
6,St. Charles,Shawn Dobson,04/21/2016 12:00:00 AM,Rileys Reproductions & Printing,CWA,CWA - Lg Format Laminate,"Printing,Binding,Photocopying",$48.83
6,St. Charles,Shawn Dobson,04/21/2016 12:00:00 AM,Shawn Dobson,CWA,CWA - Red River Heritage Fair,"Luncheons, Receptions & Events",$90.00
3,Point Douglas,Mike Pagtakhan,04/21/2016 12:00:00 AM,Canon Luhovy Assembly,CWA,CWA - 39th Annual Charity Dinner,"Luncheons, Receptions & Events",$130.00
3,Point Douglas,Mike Pagtakhan,04/21/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Lswk Point Douglas Per Capita Grant For Pinays Mb Inc. Originally Paid Out Of The Cwa.,Grants-Cash,$-100.00
3,Point Douglas,Mike Pagtakhan,04/21/2016 12:00:00 AM,Winnipeg Sikaran Arnis Academy,CWA,CWA - Canadian All Martial Arts Open,Advertising,$150.00
1,Old Kildonan,Devi Sharma,04/21/2016 12:00:00 AM,Aramark Canada Ltd,Chairmanship,Chairmanship - Food Srvc-Governance Comm-Cncl,Business Meetings,$127.38
1,Old Kildonan,Devi Sharma,04/21/2016 12:00:00 AM,Aramark Canada Ltd,Carryover Chairmanship,Carryover Chairmanship - Food Srvc-Governance Comm-Cncl,Business Meetings,$119.27
13,Transcona,Russ Wyatt,04/21/2016 12:00:00 AM,Imperial Parking Canada Corporation,CWA,CWA - Ea Parking-Cllr Wyatt,Parking Space Rental,$175.00
11,St. Vital,Brian Mayes,04/21/2016 12:00:00 AM,Manitoba Islamic Association,CWA,CWA - Sudanese Foodorama,"Luncheons, Receptions & Events",$80.00
8,River Heights - Fort Garry,John Orlikow,04/20/2016 12:00:00 AM,The Jewish Post & News,CWA,CWA - Column Inch Ad Color-P 37,Advertising,$58.00
7,Charleswood - Tuxedo - Whyte Ridge,Marty Morantz,04/20/2016 12:00:00 AM,Lubavitch Centre Inc,CWA,CWA - Pesach Magazine 2016,Advertising,$150.00
6,St. Charles,Shawn Dobson,04/20/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,"CWA - Kiosk Purchase Invoice # 116027, Councillor Dobson Auction Prize For The - Royal Canadian Air Force Association.",Contrib-Donations,$98.36
6,St. Charles,Shawn Dobson,04/20/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,"CWA - Kiosk Purchase Invoice # 116028, Councillor Dobson Retirement Gift For Jim Rondeau For 17 Years Of Service.",Contrib-Donations,$48.06
6,St. Charles,Shawn Dobson,04/20/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,"CWA - Kiosk Purchase Invoice # 116029, Councillor Dobson Gift For - Assiniboine Memorial Curling Club Volunteer Appreciation Night.",Contrib-Donations,$78.84
3,Point Douglas,Mike Pagtakhan,04/20/2016 12:00:00 AM,Association Of Ilocanos In Manitoba,CWA,CWA - Aim Appreciation Party,"Luncheons, Receptions & Events",$90.00
3,Point Douglas,Mike Pagtakhan,04/20/2016 12:00:00 AM,Manitoba Chamber Of Commerce,CWA,CWA - 2016-Leaders Series,"Luncheons, Receptions & Events",$57.50
1,Old Kildonan,Devi Sharma,04/20/2016 12:00:00 AM,Fernoc Group Ltd,CWA,CWA - Office Rental-April,Rentals,$1278.31
15,North Kildonan,Jeff Browaty,04/20/2016 12:00:00 AM,East Kildonan Kiwanis Club,CWA,CWA - Fund Raising Dinner,"Luncheons, Receptions & Events",$90.00
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Computer Avenue-Laptop Battery,Office Equipment,$70.15
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Computer Avenue-Pc Speakers,Office Equipment,$79.33
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Cre8ive-Pencil,Stationery and Office Supplies,$7.51
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Cre8ive-Pencil/Ruler,Stationery and Office Supplies,$24.19
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Don'S Photo-Camera Battery,Office Equipment,$102.58
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Fleet Galleries-Certificate,Other Operating Supplies,$27.00
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Future Shop-Pc Speakers,Office Equipment,$97.58
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Henry'S-Camera Bag,Office Equipment,$97.19
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,"CWA - Photo Central-Filter, Lens",Office Equipment,$96.93
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Red River College-Pens,Stationery and Office Supplies,$14.00
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Rexall-Iphone Charger,Office Equipment,$24.83
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Shoppers-Iphone Case,Office Equipment,$19.43
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Shoppers-Iphone Cord/Charger,Office Equipment,$21.59
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Anti Virus Software,Computer Software,$53.99
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Camera Bag,Office Equipment,$32.04
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Note Pads,Stationery and Office Supplies,$23.24
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Paper Clips,Stationery and Office Supplies,$7.72
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Pens,Stationery and Office Supplies,$5.67
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Pens & Software,Stationery and Office Supplies,$59.38
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Pens/Note Pads,Stationery and Office Supplies,$15.94
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Post It Notes,Stationery and Office Supplies,$11.17
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Staples-Win 8.1 Upgrade,Computer Software,$150.12
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Valu Lots-Iphone Card,Office Equipment,$5.38
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Walmart-Battery/Charger,Stationery and Office Supplies,$44.96
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Walmart-Camera Charger,Office Equipment,$40.89
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Walmart-Iphone Usb Cable,Office Equipment,$19.31
14,Elmwood - East Kildonan,Jason Schreyer,04/20/2016 12:00:00 AM,Chris Hurley,CWA,CWA - Walmart-Pens,Stationery and Office Supplies,$14.80
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1798.11
8,River Heights - Fort Garry,John Orlikow,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2887.72
4,Daniel McIntyre,Cindy Gilroy,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2145.99
5,St. James - Brooklands - Weston,Scott Gillingham,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1758.88
7,Charleswood - Tuxedo - Whyte Ridge,Marty Morantz,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1926.30
6,St. Charles,Shawn Dobson,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1962.52
3,Point Douglas,Mike Pagtakhan,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2046.44
1,Old Kildonan,Devi Sharma,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1313.59
2,Mynarski,Ross Eadie,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2573.17
15,North Kildonan,Jeff Browaty,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1801.41
14,Elmwood - East Kildonan,Jason Schreyer,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2203.28
13,Transcona,Russ Wyatt,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1694.00
12,St. Boniface,Matt Allard,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2287.21
11,St. Vital,Brian Mayes,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2045.67
10,South Winnipeg - St. Norbert,Janice Lukes,04/16/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2520.81
3,Point Douglas,Mike Pagtakhan,04/15/2016 12:00:00 AM,Nelson Noni Manalili,CWA,CWA - Underside Of The Arlington Brg,Advertising,$100.00
11,St. Vital,Brian Mayes,04/15/2016 12:00:00 AM,Brian Mayes,CWA,CWA - Women'S Endowment Fund,"Luncheons, Receptions & Events",$200.00
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$-185.88
8,River Heights - Fort Garry,John Orlikow,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$232.38
4,Daniel McIntyre,Cindy Gilroy,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$233.42
6,St. Charles,Shawn Dobson,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$232.12
3,Point Douglas,Mike Pagtakhan,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$231.86
3,Point Douglas,Mike Pagtakhan,04/14/2016 12:00:00 AM,Rene'S Courier,CWA,CWA - Courier Service,Freight and Messenger Services,$16.50
3,Point Douglas,Mike Pagtakhan,04/14/2016 12:00:00 AM,World Chinese Business Post,CWA,CWA - 1/4 Page-Page 3 Apr/2016,Advertising,$60.00
1,Old Kildonan,Devi Sharma,04/14/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - In Lieu Of Staff'S Time To Assist With Speaker Matters And Matters Pertaining To The Governance Committee.,Casual Services,$-2000.00
1,Old Kildonan,Devi Sharma,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$220.20
1,Old Kildonan,Devi Sharma,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Non-Professional Services,$7.52
1,Old Kildonan,Devi Sharma,04/14/2016 12:00:00 AM,Rene'S Courier,CWA,CWA - Courier Service,Freight and Messenger Services,$4.50
1,Old Kildonan,Devi Sharma,04/14/2016 12:00:00 AM,City of Winnipeg - Journal Entry,Chairmanship,Chairmanship - In Lieu Of Staff'S Time To Assist With Speaker Matters And Matters Pertaining To The Governance Committee.,Casual Services,$2000.00
2,Mynarski,Ross Eadie,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$231.61
15,North Kildonan,Jeff Browaty,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$93.21
14,Elmwood - East Kildonan,Jason Schreyer,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$225.25
13,Transcona,Russ Wyatt,04/14/2016 12:00:00 AM,Rene'S Courier,CWA,CWA - Courier Service,Freight and Messenger Services,$27.00
12,St. Boniface,Matt Allard,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$90.61
11,St. Vital,Brian Mayes,04/14/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Credit To Cwa Asthis Courier Service Was Charged To Wrong Account.,Freight and Messenger Services,$-18.75
11,St. Vital,Brian Mayes,04/14/2016 12:00:00 AM,Manitoba Blue Cross,CWA,CWA - Cllrs Exec Assist-Stmt May 1,Casual Services,$94.50
11,St. Vital,Brian Mayes,04/14/2016 12:00:00 AM,St Vital Historical Society Inc,CWA,CWA - 2016 Historian,Advertising,$250.00
